Year-Month,Total DATA Traffic in GB 4G,,,
2019-02,0,,,
2019-03,0,,,
2019-04,0,,,
2019-05,0,,,
2019-06,0,,,
2019-07,4752,,,
2019-08,9205.99,,,
2019-09,12810.01,,,
2019-10,16520.21,,,
2019-11,17615.31,,,
2019-12,16280.05,,,
2020-01,9994.36,,,
2020-02,4349.04,,,
2020-03,3717.55,,,
2020-04,0,,,
2020-05,5418.44,,,
2020-06,2598.32,,,
2020-07,0,,,
2020-08,0,,,
2020-09,0,,,
2020-10,0,,,
2020-11,0,,,
2020-12,0,,,
2021-01,0,,,
2021-02,0,,,
2021-03,0,,,
2021-04,0,,,
2021-05,0,,,
2021-06,0,,,
2021-07,0,,,
2021-08,0,,,
2021-09,0,,,
2021-10,0,,,
2021-11,0,,,
2021-12,0,,,
2022-01,0,,,
2022-02,0,,,
2022-03,24779.3,,,
2022-04,213249.4,,,
2022-05,70138.74,,,
2022-06,10506.9,,,
2022-07,60955.862,,,
2022-08,47280.9302,,,
2022-09,14033.36,,,
2022-10,24430.17,,,
2022-11,38260.4619,,,
2022-12,0,,,
2023-01,28982.5811,,,
2023-02,88661.7,,,
2023-03,149695.2271,,,
2023-04,71055.23,261412.18,2904.579778,2.836503689
2023-05,91831.41,,,
2023-06,98525.54,,,
2023-07,85638.43,312402.51,3471.139,3.38978418
2023-08,109877.65,,,
2023-09,116886.43,,,
2023-10,117037.98,324613.62,3606.818,3.522283203
2023-11,102727.34,,,
2023-12,104848.3,,,
2024-01,108799.22,326954.82,3632.831333,3.547686849
2024-02,106766.8,,,
2024-03,111388.8,,,
2024-04,99251.98,305500.01,3394.444556,3.314887261
2024-05,110160.16,,,
2024-06,96087.87,,,
2024-07,166146.52,852928.71,9476.985667,9.254868815
2024-08,339410.79,,,
2024-09,347371.4,,,
2024-10,350522.7177,,,11.41024472
2024-11,143280.61,,,
